source,target,following,followed_by
SenatorBaldwin,SenatorBaldwin,FALSE,FALSE
SenatorBaldwin,SenJohnBarrasso,FALSE,TRUE
SenatorBaldwin,SenatorBennet,TRUE,TRUE
SenatorBaldwin,MarshaBlackburn,FALSE,FALSE
SenatorBaldwin,SenBlumenthal,TRUE,TRUE
SenatorBaldwin,RoyBlunt,FALSE,TRUE
SenatorBaldwin,CoryBooker,TRUE,TRUE
SenatorBaldwin,JohnBoozman,FALSE,TRUE
SenatorBaldwin,SenatorBraun,FALSE,FALSE
SenatorBaldwin,SenSherrodBrown,TRUE,TRUE
SenatorBaldwin,SenatorBurr,TRUE,TRUE
SenatorBaldwin,SenatorCantwell,TRUE,TRUE
SenatorBaldwin,SenCapito,TRUE,TRUE
SenatorBaldwin,SenatorCardin,TRUE,TRUE
SenatorBaldwin,SenatorCarper,TRUE,TRUE
SenatorBaldwin,SenBobCasey,TRUE,TRUE
SenatorBaldwin,SenBillCassidy,FALSE,FALSE
SenatorBaldwin,SenatorCollins,TRUE,TRUE
SenatorBaldwin,ChrisCoons,TRUE,TRUE
SenatorBaldwin,JohnCornyn,TRUE,TRUE
SenatorBaldwin,SenCortezMasto,TRUE,TRUE
SenatorBaldwin,SenTomCotton,FALSE,TRUE
SenatorBaldwin,SenKevinCramer,FALSE,FALSE
SenatorBaldwin,MikeCrapo,TRUE,TRUE
SenatorBaldwin,SenTedCruz,TRUE,TRUE
SenatorBaldwin,SteveDaines,FALSE,TRUE
SenatorBaldwin,SenDuckworth,TRUE,TRUE
SenatorBaldwin,SenatorDurbin,TRUE,TRUE
SenatorBaldwin,SenJoniErnst,FALSE,TRUE
SenatorBaldwin,SenFeinstein,TRUE,TRUE
SenatorBaldwin,SenatorFischer,TRUE,TRUE
SenatorBaldwin,SenGillibrand,TRUE,TRUE
SenatorBaldwin,LindseyGrahamSC,FALSE,FALSE
SenatorBaldwin,ChuckGrassley,FALSE,TRUE
SenatorBaldwin,SenatorHagerty,TRUE,FALSE
SenatorBaldwin,SenatorHassan,TRUE,TRUE
SenatorBaldwin,HawleyMO,FALSE,FALSE
SenatorBaldwin,MartinHeinrich,TRUE,TRUE
SenatorBaldwin,SenatorHick,TRUE,TRUE
SenatorBaldwin,maziehirono,TRUE,TRUE
SenatorBaldwin,SenJohnHoeven,TRUE,TRUE
SenatorBaldwin,SenHydeSmith,FALSE,FALSE
SenatorBaldwin,JimInhofe,FALSE,FALSE
SenatorBaldwin,SenRonJohnson,TRUE,TRUE
SenatorBaldwin,timkaine,TRUE,TRUE
SenatorBaldwin,SenMarkKelly,FALSE,TRUE
SenatorBaldwin,SenJohnKennedy,TRUE,FALSE
SenatorBaldwin,SenAngusKing,TRUE,TRUE
SenatorBaldwin,SenAmyKlobuchar,TRUE,TRUE
SenatorBaldwin,SenatorLankford,TRUE,TRUE
SenatorBaldwin,SenatorLeahy,TRUE,TRUE
SenatorBaldwin,SenMikeLee,FALSE,TRUE
SenatorBaldwin,SenatorLujan,TRUE,TRUE
SenatorBaldwin,SenLummis,FALSE,FALSE
SenatorBaldwin,Sen_JoeManchin,TRUE,TRUE
SenatorBaldwin,SenMarkey,TRUE,TRUE
SenatorBaldwin,SenatorMarshall,FALSE,FALSE
SenatorBaldwin,SenatorMenendez,TRUE,TRUE
SenatorBaldwin,SenJeffMerkley,TRUE,TRUE
SenatorBaldwin,JerryMoran,TRUE,TRUE
SenatorBaldwin,lisamurkowski,TRUE,TRUE
SenatorBaldwin,ChrisMurphyCT,FALSE,TRUE
SenatorBaldwin,PattyMurray,TRUE,TRUE
SenatorBaldwin,ossoff,FALSE,FALSE
SenatorBaldwin,SenAlexPadilla,TRUE,TRUE
SenatorBaldwin,RandPaul,FALSE,TRUE
SenatorBaldwin,SenGaryPeters,TRUE,TRUE
SenatorBaldwin,senrobportman,FALSE,TRUE
SenatorBaldwin,SenJackReed,FALSE,TRUE
SenatorBaldwin,SenatorRisch,FALSE,TRUE
SenatorBaldwin,SenatorRomney,TRUE,FALSE
SenatorBaldwin,SenJackyRosen,TRUE,TRUE
SenatorBaldwin,SenatorRounds,TRUE,TRUE
SenatorBaldwin,marcorubio,FALSE,TRUE
SenatorBaldwin,SenSanders,TRUE,TRUE
SenatorBaldwin,SenSasse,FALSE,FALSE
SenatorBaldwin,SenBrianSchatz,TRUE,TRUE
SenatorBaldwin,SenSchumer,TRUE,TRUE
SenatorBaldwin,SenRickScott,TRUE,FALSE
SenJohnBarrasso,SenatorBaldwin,TRUE,FALSE
SenJohnBarrasso,SenJohnBarrasso,FALSE,FALSE
SenJohnBarrasso,SenatorBennet,TRUE,FALSE
SenJohnBarrasso,MarshaBlackburn,TRUE,TRUE
SenJohnBarrasso,SenBlumenthal,FALSE,FALSE
SenJohnBarrasso,RoyBlunt,TRUE,TRUE
SenJohnBarrasso,CoryBooker,TRUE,FALSE
SenJohnBarrasso,JohnBoozman,TRUE,TRUE
SenJohnBarrasso,SenatorBraun,TRUE,TRUE
SenJohnBarrasso,SenSherrodBrown,TRUE,FALSE
SenJohnBarrasso,SenatorBurr,TRUE,TRUE
SenJohnBarrasso,SenatorCantwell,TRUE,FALSE
SenJohnBarrasso,SenCapito,TRUE,TRUE
SenJohnBarrasso,SenatorCardin,TRUE,FALSE
SenJohnBarrasso,SenatorCarper,TRUE,FALSE
SenJohnBarrasso,SenBobCasey,TRUE,TRUE
SenJohnBarrasso,SenBillCassidy,TRUE,TRUE
SenJohnBarrasso,SenatorCollins,TRUE,TRUE
SenJohnBarrasso,ChrisCoons,TRUE,FALSE
SenJohnBarrasso,JohnCornyn,TRUE,TRUE
SenJohnBarrasso,SenCortezMasto,TRUE,FALSE
SenJohnBarrasso,SenTomCotton,TRUE,TRUE
SenJohnBarrasso,SenKevinCramer,TRUE,TRUE
SenJohnBarrasso,MikeCrapo,TRUE,TRUE
SenJohnBarrasso,SenTedCruz,TRUE,TRUE
SenJohnBarrasso,SteveDaines,TRUE,TRUE
SenJohnBarrasso,SenDuckworth,TRUE,FALSE
SenJohnBarrasso,SenatorDurbin,TRUE,FALSE
SenJohnBarrasso,SenJoniErnst,TRUE,TRUE
SenJohnBarrasso,SenFeinstein,TRUE,FALSE
SenJohnBarrasso,SenatorFischer,TRUE,TRUE
SenJohnBarrasso,SenGillibrand,FALSE,FALSE
SenJohnBarrasso,LindseyGrahamSC,FALSE,TRUE
SenJohnBarrasso,ChuckGrassley,TRUE,TRUE
SenJohnBarrasso,SenatorHagerty,TRUE,FALSE
SenJohnBarrasso,SenatorHassan,TRUE,FALSE
SenJohnBarrasso,HawleyMO,FALSE,FALSE
SenJohnBarrasso,MartinHeinrich,FALSE,FALSE
SenJohnBarrasso,SenatorHick,TRUE,FALSE
SenJohnBarrasso,maziehirono,FALSE,FALSE
SenJohnBarrasso,SenJohnHoeven,TRUE,TRUE
SenJohnBarrasso,SenHydeSmith,TRUE,TRUE
SenJohnBarrasso,JimInhofe,TRUE,TRUE
SenJohnBarrasso,SenRonJohnson,TRUE,TRUE
SenJohnBarrasso,timkaine,FALSE,FALSE
SenJohnBarrasso,SenMarkKelly,FALSE,FALSE
SenJohnBarrasso,SenJohnKennedy,TRUE,TRUE
SenJohnBarrasso,SenAngusKing,TRUE,TRUE
SenJohnBarrasso,SenAmyKlobuchar,TRUE,FALSE
SenJohnBarrasso,SenatorLankford,TRUE,TRUE
SenJohnBarrasso,SenatorLeahy,FALSE,FALSE
SenJohnBarrasso,SenMikeLee,TRUE,TRUE
SenJohnBarrasso,SenatorLujan,FALSE,FALSE
SenJohnBarrasso,SenLummis,TRUE,TRUE
SenJohnBarrasso,Sen_JoeManchin,TRUE,TRUE
SenJohnBarrasso,SenMarkey,TRUE,FALSE
SenJohnBarrasso,SenatorMarshall,FALSE,FALSE
SenJohnBarrasso,SenatorMenendez,FALSE,TRUE
SenJohnBarrasso,SenJeffMerkley,TRUE,FALSE
SenJohnBarrasso,JerryMoran,TRUE,TRUE
SenJohnBarrasso,lisamurkowski,TRUE,TRUE
SenJohnBarrasso,ChrisMurphyCT,FALSE,FALSE
SenJohnBarrasso,PattyMurray,TRUE,FALSE
SenJohnBarrasso,ossoff,FALSE,FALSE
SenJohnBarrasso,SenAlexPadilla,FALSE,FALSE
SenJohnBarrasso,RandPaul,TRUE,TRUE
SenJohnBarrasso,SenGaryPeters,TRUE,FALSE
