name,lat,lng,sector_label
A T Still University of Health Sciences,40.193648,-92.589183,Private
Abilene Christian University,32.46915,-99.70954,Private
Abraham Baldwin Agricultural College,31.481889,-83.528281,Public
Abraham Lincoln University,34.06099,-118.301181,For-Profit
Academy College,44.855722,-93.299809,For-Profit
Academy for Five Element Acupuncture,29.650075,-82.321994,Private
Academy for Jewish Religion-California,34.06089,-118.293261,Private
Academy of Art University,37.787748,-122.400686,For-Profit
Academy of Chinese Culture and Health Sciences,37.806662,-122.272733,Private
Academy of Vocal Arts,39.947863,-75.173683,Private
Acupuncture and Integrative Medicine College-Berkeley,37.862754,-122.267636,Private
Acupuncture and Massage College,25.68625,-80.3645,For-Profit
Adams State University,37.473636,-105.879642,Public
Adelphi University,40.721439,-73.653321,Private
Adler Graduate School,44.862865,-93.252532,Private
Adler University,41.88253,-87.629131,Private
Adrian College,41.898449,-84.059947,Private
Adventist University of Health Sciences,28.576142,-81.367687,Private
Agnes Scott College,33.769268,-84.295459,Private
AI Miami International University of Art and Design,25.790008,-80.18839,For-Profit
AIB College of Business,41.561953,-93.645694,Private
Air Force Institute of Technology-Graduate School of Engineering & Management,39.780663,-84.087246,Public
Alabama A & M University,34.783368,-86.568502,Public
Alabama College of Osteopathic Medicine,31.206294,-85.340805,Private
Alabama State University,32.364317,-86.295677,Public
Alaska Bible College,61.598553,-149.111972,Private
Alaska Pacific University,61.191235,-149.804242,Private
Albany College of Pharmacy and Health Sciences,42.652559,-73.778132,Private
Albany Law School,42.651264,-73.777692,Private
Albany Medical College,42.653178,-73.773975,Private
Albany State University,31.56928,-84.141825,Public
Albertus Magnus College,41.332519,-72.923848,Private
Albion College,42.244603,-84.746088,Private
Albright College,40.361351,-75.909742,Private
Alcorn State University,31.877216,-91.142854,Public
Alderson Broaddus University,39.158067,-80.047728,Private
Alfred University,42.254476,-77.788106,Private
Alhambra Medical University,34.08023,-118.148671,For-Profit
Alice Lloyd College,37.335087,-82.875068,Private
Allegheny College,41.648068,-80.146922,Private
Allegheny Wesleyan College,40.867236,-80.860091,Private
Allen College,42.531427,-92.338018,Private
Allen University,34.010348,-81.020045,Private
Alliant International University-San Diego,32.897056,-117.094398,For-Profit
Allied American University,33.623072,-117.729569,For-Profit
Alma College,43.379236,-84.670073,Private
Alpena Community College,45.081647,-83.445069,Public
Alvernia University,40.310028,-75.936754,Private
Alverno College,42.983518,-87.965498,Private
Amberton University,32.859937,-96.653028,Private
Ambria College of Nursing,42.075628,-88.2109,For-Profit
American Academy of Acupuncture and Oriental Medicine,45.015783,-93.181424,For-Profit
American Academy of Art,41.877824,-87.624396,Private
American Baptist College,36.201155,-86.789301,Private
American Baptist Seminary of the West,37.865252,-122.256149,Private
American Business and Technology University,39.77909,-94.819981,For-Profit
American College for Medical Careers,28.470997,-81.402271,For-Profit
American College of Acupuncture and Oriental Med,29.735747,-95.524522,For-Profit
American College of Education,39.76975,-86.160161,For-Profit
American College of Financial Services,40.018084,-75.326655,Private
American College of Healthcare Sciences,45.486902,-122.675858,For-Profit
American College of Traditional Chinese Medicine,37.760503,-122.398242,Private
